TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
1,2025-07-01,Smartphone,Electronics,West,Online,8,7257.27,58058.16,Net Banking,7780
2,2025-03-01,Camera,Electronics,North,Online,8,3171.57,25372.56,Cash,1939
3,2025-06-15,Jeans,Clothing,West,Online,7,2545.37,17817.59,Net Banking,2543
4,2024-12-26,Yoga Mat,Sports,East,Online,3,3572.71,10718.13,Cash,8947
5,2025-03-01,Jeans,Clothing,West,Online,1,432.03,432.03,Net Banking,8980
6,2024-09-15,Rice,Groceries,East,Offline,10,120.75,1207.5,Credit Card,1147
7,2025-01-18,Headphones,Electronics,West,Offline,1,9724.44,9724.44,Net Banking,2251
8,2025-06-20,Football,Sports,West,Offline,6,4443.43,26660.58,Net Banking,9043
9,2025-06-15,Lipstick,Beauty,West,Offline,3,1495.86,4487.58,UPI,2468
10,2025-05-04,Jacket,Clothing,South,Online,7,4489.79,31428.53,Cash,9731
11,2024-09-02,Laptop,Electronics,East,Online,1,4862.88,4862.88,Credit Card,1601
12,2024-12-14,Perfume,Beauty,South,Offline,9,2765.73,24891.57,Cash,3051
13,2025-02-27,T-Shirt,Clothing,East,Offline,1,5936.01,5936.01,Net Banking,7190
14,2025-06-19,Rice,Groceries,South,Offline,4,2718.84,10875.36,UPI,7851
15,2025-05-18,Lipstick,Beauty,North,Online,2,2410.97,4821.94,Net Banking,3909
16,2024-10-25,Lipstick,Beauty,East,Online,1,9493.95,9493.95,UPI,7213
17,2025-07-02,Lipstick,Beauty,South,Offline,5,2719.32,13596.6,Net Banking,9769
18,2025-01-21,Tennis Racket,Sports,North,Offline,5,4025.58,20127.9,Credit Card,3151
19,2024-09-22,Tennis Racket,Sports,East,Offline,3,898.4,2695.2,UPI,7324
20,2025-03-19,Jacket,Clothing,North,Offline,9,9951.93,89567.37,Credit Card,7967
21,2024-11-14,Vase,Home Decor,South,Offline,4,1408.55,5634.2,UPI,1739
22,2025-04-20,Shampoo,Beauty,East,Online,10,8244.16,82441.6,Cash,7418
23,2025-02-01,Jacket,Clothing,South,Offline,8,9250.02,74000.16,UPI,2336
24,2025-01-20,Smartphone,Electronics,West,Online,10,4368.92,43689.2,Net Banking,2237
25,2024-08-23,Camera,Electronics,North,Offline,7,7905.42,55337.94,Credit Card,7994
26,2024-12-01,Curtains,Home Decor,North,Online,8,7171.98,57375.84,Cash,3110
27,2024-10-01,Vase,Home Decor,North,Offline,8,7453.19,59625.52,Cash,1572
28,2024-08-21,T-Shirt,Clothing,West,Online,3,9518.22,28554.66,UPI,3584
29,2024-09-04,Headphones,Electronics,West,Offline,5,1013.51,5067.55,Net Banking,5440
30,2025-03-24,Jacket,Clothing,North,Offline,7,7802.3,54616.1,Cash,2793
31,2025-04-26,Jeans,Clothing,West,Offline,8,4389.37,35114.96,Credit Card,1349
32,2024-10-06,Vase,Home Decor,North,Offline,1,8166.51,8166.51,Net Banking,5687
33,2024-08-13,Laptop,Electronics,West,Online,10,4949.29,49492.9,UPI,1110
34,2024-10-11,Sugar,Groceries,West,Online,9,1462.48,13162.32,Cash,5125
35,2024-10-09,Headphones,Electronics,West,Online,9,9128.41,82155.69,Cash,9084
36,2025-03-15,Jeans,Clothing,North,Online,3,5430.97,16292.91,UPI,2872
37,2025-04-28,Wheat,Groceries,West,Offline,1,8121.55,8121.55,Cash,6354
38,2024-08-12,Yoga Mat,Sports,South,Offline,6,738.21,4429.26,Cash,2986
39,2025-05-10,Perfume,Beauty,North,Offline,2,2246.51,4493.02,Net Banking,7345
40,2025-04-15,Vase,Home Decor,West,Online,8,8325.51,66604.08,Cash,2555
41,2024-08-22,Tennis Racket,Sports,South,Online,9,6978.93,62810.37,Cash,9742
